Data Analytics,Statistics,Big Data,Data Visualization,Data Tools,Problem Solving,Customer Centricity,Adaptability,Communication Skills
business analytics,statistical models,Spark,dashboards,Looker,solution-oriented,user behaviour,independent,interpersonal skills
quantitative analysis,prediction,Hive,reports,Jupyter Notebook,problem analysis,user experience,autonomous,presentation skills
data reporting,forecasting,large datasets,metrics,SQL,analytical,customers,curiosity,Communication
qualitative analysis,machine learning,hadoop,storytelling,Python,detailed,usability,open minded,written communication
predictive analytics,statistical consulting,cloudera,KPI,business intelligence tools,systematic,prototyping,perseverance,
predictive modeling,logistical regression,mapreduce,KPIs,Tableau,logical,,flexibility,
customer analysis,bayesian statistics,impala,,MySQL,,,,
marketing mix modeling,probability,sqoop,,numpy,,,,
database marketing,variance analysis,,,pandas,,,,
data analysis,hypothesis testing,,,matplotlib,,,,
data structures,ab testing,,,scipy,,,,
data modeling,,,,nltk,,,,
deep learning,,,,sklearn,,,,
